Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage
US-Myb,Mayberry Wetland,38.0498,-121.7651,1466.481,12.79328,-1394.478,-9.7146,1273,4,0.87
US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,1519.2896,23.905475,-1251.1494,-10.60128,2422,10,0.66
US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,1406.15463636364,23.7874,-1106.44081818182,-9.736498,2611,11,0.65
US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,1222.819,19.77873,-965.967,-8.433408,2979,12,0.68
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,844.2536875,6.66925,-673.40625,-4.938446,4797,16,0.82
US-ORv,Olentangy River Wetland Research Park,40.0201,-83.0183,887.643,7.273132,-625.39,-3.502448,315,1,0.86
US-PFa,Park Falls/WLEF,45.9459,-90.2723,997.831842105263,10.055185,-987.652789473684,-8.348776,5570,19,0.8
US-Prr,Poker Flat Research Range Black Spruce Forest,65.1237,-147.4876,403.2541,4.47152,-283.808,-2.4832965,1025,4,0.7
US-SRG,Santa Rita Grassland,31.7894,-110.8277,422.655857142857,5.3909755,-412.228857142857,-3.647014,2300,7,0.9
US-SRM,Santa Rita Mesquite,31.8214,-110.8661,282.740090909091,3.7350565,-313.367363636364,-2.6121905,3288,11,0.82
US-Syv,Sylvania Wilderness Area,46.242,-89.3477,1368.044,12.61625,-1346.3486,-10.652005,3094,10,0.85
US-Ton,Tonzi Ranch,38.4316,-120.966,894.872071428571,7.019216,-747.849642857143,-5.023122,4827,14,0.94
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,2379.98333333333,13.76821,-1428.51,-6.7838675,1019,3,0.93
US-Tw2,Twitchell Corn,38.1047,-121.6433,891.6305,13.84349,-1718.415,-9.67592,559,2,0.76
US-Tw3,Twitchell Alfalfa,38.1159,-121.6467,3041.095,15.20386,-2284.81,-9.3013345,710,2,0.97
US-Tw4,Twitchell East End Wetland,38.103,-121.6414,796.518,5.80147,-1388.1015,-7.15778,653,2,0.89
US-Twt,Twitchell Island,38.1087,-121.653,1348.45166666667,15.55554,-1443.85166666667,-8.89137,1705,6,0.78
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,1290.49,12.36673,-1022.81826666667,-6.621098,4399,15,0.8
US-UMd,UMBS Disturbance,45.5625,-84.6975,1478.8125,12.50734,-1076.725,-6.628834,2407,8,0.82
US-Var,Vaira Ranch- Ione,38.4133,-120.9507,734.662181818182,8.9814825,-763.956454545455,-5.832545,2754,11,0.69
US-WCr,Willow Creek,45.8059,-90.0799,1148.61458333333,13.31041,-891.687416666667,-6.940298,3020,12,0.69
US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,220.6415,2.529931,-188.889,-1.713597,563,2,0.77
US-Wi0,Young red pine (YRP),46.6188,-91.0814,1577.59,10.39137,-800.739,-5.744046,364,1,1
US-Wi3,Mature hardwood (MHW),46.6347,-91.0987,1264.905,12.17035,-391.5305,-3.77383,611,2,0.84
US-Wi4,Mature red pine (MRP),46.7393,-91.1663,1873.635,10.4734,-552.967,-4.34605,1451,4,0.99
US-Wi6,Pine barrens #1 (PB1),46.6249,-91.2982,558.7905,6.0488525,-390.1465,-2.6333515,586,2,0.8
US-Wi9,Young Jack pine (YJP),46.6188,-91.0814,892.4185,6.3117175,-424.3415,-3.53866,696,2,0.95
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,239.61253,3.4546015,-232.9874,-2.178638,2790,10,0.76
ZM-Mon,Mongu,-15.4378,23.2528,1402.03925,8.099247,-1582.317,-8.2550035,1458,4,1
